央卫频道,#genre#
CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000489.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000201.m3u8
CCTV2,http://120.76.248.139/live/bfgd/4200000061.m3u8
CCTV3,http://120.76.248.139/live/bfgd/4200000062.m3u8
CCTV4,http://120.76.248.139/live/bfgd/4200000063.m3u8
CCTV5,http://120.76.248.139/live/bfgd/4200000064.m3u8
CCTV5+,http://120.76.248.139/live/bfgd/4200000246.m3u8
CCTV6,http://120.76.248.139/live/bfgd/4200000065.m3u8
CCTV7,http://120.76.248.139/live/bfgd/4200000127.m3u8
CCTV8,http://120.76.248.139/live/bfgd/4200000066.m3u8
CCTV9,http://120.76.248.139/live/bfgd/4200000128.m3u8
CCTV10,http://120.76.248.139/live/bfgd/4200000129.m3u8
CCTV11,http://120.76.248.139/live/bfgd/4200000130.m3u8
CCTV12,http://120.76.248.139/live/bfgd/4200000131.m3u8
CCTV13,http://120.76.248.139/live/bfgd/4200000067.m3u8
CCTV14,http://120.76.248.139/live/bfgd/4200000132.m3u8
CCTV15,http://120.76.248.139/live/bfgd/4200000133.m3u8
CCTV17,http://120.76.248.139/live/bfgd/4200000204.m3u8
CGTN阿语,http://120.76.248.139/live/bfgd/4200000308.m3u8
CGTN西语,http://120.76.248.139/live/bfgd/4200000306.m3u8
CGTN法语,http://120.76.248.139/live/bfgd/4200000307.m3u8
CGTN,http://120.76.248.139/live/bfgd/4200000134.m3u8
CGTN俄语,http://120.76.248.139/live/bfgd/4200000309.m3u8
CETV1,http://120.76.248.139/live/bfgd/4200000135.m3u8
CETV2,http://120.76.248.139/live/bfgd/4200000492.m3u8
CHC华诚影视,http://120.76.248.139/live/bfgd/4200000289.m3u8
安徽卫视,http://120.76.248.139/live/bfgd/4200000096.m3u8
北京卫视,http://120.76.248.139/live/bfgd/4200000083.m3u8
北京纪实科教,http://120.76.248.139/live/bfgd/4200000113.m3u8
北京卡酷少儿,http://120.76.248.139/live/bfgd/4200000106.m3u8
兵团卫视,http://120.76.248.139/live/bfgd/4200000124.m3u8
重庆卫视,http://120.76.248.139/live/bfgd/4200000107.m3u8
重温经典,http://120.76.248.139/live/bfgd/4200000635.m3u8
重温经典,http://120.76.248.139/live/bfgd/4200000636.m3u8
东方卫视,http://120.76.248.139/live/bfgd/4200000093.m3u8
东南卫视,http://120.76.248.139/live/bfgd/4200000483.m3u8
CCTV电视指南,http://120.76.248.139/live/bfgd/4200000164.m3u8
中央新影-发现之旅,http://120.76.248.139/live/bfgd/4200000151.m3u8
CCTV风云足球,http://120.76.248.139/live/bfgd/4200000225.m3u8
上海|法治天地,http://120.76.248.139/live/bfgd/4200000162.m3u8
广东卫视,http://120.76.248.139/live/bfgd/4200000092.m3u8
甘肃卫视,http://120.76.248.139/live/bfgd/4200000119.m3u8
河南|国学频道,http://120.76.248.139/live/bfgd/4200000169.m3u8
广西卫视,http://120.76.248.139/live/bfgd/4200000116.m3u8
贵州|天元围棋,http://120.76.248.139/live/bfgd/4200000633.m3u8
贵州卫视,http://120.76.248.139/live/bfgd/4200000101.m3u8
河南卫视,http://120.76.248.139/live/bfgd/4200000339.m3u8
湖北卫视,http://120.76.248.139/live/bfgd/4200000102.m3u8
河北卫视,http://120.76.248.139/live/bfgd/4200000108.m3u8
CCTV怀旧剧场,http://120.76.248.139/live/bfgd/4200000224.m3u8
黑龙江卫视,http://120.76.248.139/live/bfgd/4200000095.m3u8
茶频道,http://120.76.248.139/live/bfgd/4200000181.m3u8
快乐垂钓,http://120.76.248.139/live/bfgd/4200000228.m3u8
湖南卫视,http://120.76.248.139/live/bfgd/4200000086.m3u8
先锋乒羽,http://120.76.248.139/live/bfgd/4200000349.m3u8
环球旅游,http://120.76.248.139/live/bfgd/4200000147.m3u8
吉林卫视,http://120.76.248.139/live/bfgd/4200000097.m3u8
财富天下,http://120.76.248.139/live/bfgd/4200000231.m3u8
江苏卫视,http://120.76.248.139/live/bfgd/4200000085.m3u8
家庭理财,http://120.76.248.139/live/bfgd/4200000139.m3u8
江西卫视,http://120.76.248.139/live/bfgd/4200000098.m3u8
中央新影-老故事,http://120.76.248.139/live/bfgd/4200000166.m3u8
海南卫视,http://120.76.248.139/live/bfgd/4200000473.m3u8
内蒙古卫视,http://120.76.248.139/live/bfgd/4200000110.m3u8
CCTV女性时尚,http://120.76.248.139/live/bfgd/4200000176.m3u8
宁夏卫视,http://120.76.248.139/live/bfgd/4200000118.m3u8
青海卫视,http://120.76.248.139/live/bfgd/4200000111.m3u8
收藏天下,http://120.76.248.139/live/bfgd/4200000155.m3u8
四川卫视,http://120.76.248.139/live/bfgd/4200000103.m3u8
山东教育卫视,http://120.76.248.139/live/bfgd/4200000112.m3u8
山东卫视,http://120.76.248.139/live/bfgd/4200000099.m3u8
北京|四海钓鱼,http://120.76.248.139/live/bfgd/4200000229.m3u8
书画频道,http://120.76.248.139/live/bfgd/4200000180.m3u8
CCTV世界地理,http://120.76.248.139/live/bfgd/4200000177.m3u8
农林卫视,http://120.76.248.139/live/bfgd/4200000122.m3u8
陕西卫视,http://120.76.248.139/live/bfgd/4200000512.m3u8
山西卫视,http://120.76.248.139/live/bfgd/4200000109.m3u8
深圳卫视,http://120.76.248.139/live/bfgd/4200000100.m3u8
新疆卫视,http://120.76.248.139/live/bfgd/4200000150.m3u8
新视觉,http://120.76.248.139/live/bfgd/4200000249.m3u8
生态环境频道,http://120.76.248.139/live/bfgd/4200000149.m3u8
西藏卫视,http://120.76.248.139/live/bfgd/4200000121.m3u8
延边卫视,http://120.76.248.139/live/bfgd/4200000117.m3u8
云南卫视,http://120.76.248.139/live/bfgd/4200000482.m3u8
优优宝贝,http://120.76.248.139/live/bfgd/4200000153.m3u8
中华特产,http://120.76.248.139/live/bfgd/4200000158.m3u8
浙江卫视,http://120.76.248.139/live/bfgd/4200000094.m3u8

CCTV1,http://ygbh.site/php/bfgd.php?id=201
CCTV1,http://ygbh.site/php/bfgd.php?id=484
CCTV1,http://ygbh.site/php/bfgd.php?id=488
CCTV1,http://ygbh.site/php/bfgd.php?id=489
CCTV2,http://ygbh.site/php/bfgd.php?id=061
CCTV3,http://ygbh.site/php/bfgd.php?id=062
CCTV4,http://ygbh.site/php/bfgd.php?id=063
CCTV5,http://ygbh.site/php/bfgd.php?id=064
CCTV5+,http://ygbh.site/php/bfgd.php?id=246
CCTV6,http://ygbh.site/php/bfgd.php?id=065
CCTV7,http://ygbh.site/php/bfgd.php?id=127
CCTV8,http://ygbh.site/php/bfgd.php?id=066
CCTV9,http://ygbh.site/php/bfgd.php?id=128
CCTV10,http://ygbh.site/php/bfgd.php?id=129
CCTV11,http://ygbh.site/php/bfgd.php?id=130
CCTV12,http://ygbh.site/php/bfgd.php?id=131
CCTV13,http://ygbh.site/php/bfgd.php?id=067
CCTV14,http://ygbh.site/php/bfgd.php?id=132
CCTV15,http://ygbh.site/php/bfgd.php?id=133
CCTV17,http://ygbh.site/php/bfgd.php?id=204
CETV1,http://ygbh.site/php/bfgd.php?id=135
CETV2,http://ygbh.site/php/bfgd.php?id=492
CGTN,http://ygbh.site/php/bfgd.php?id=134
CGTN西语,http://ygbh.site/php/bfgd.php?id=306
CGTN阿语,http://ygbh.site/php/bfgd.php?id=308
CGTN法语,http://ygbh.site/php/bfgd.php?id=307
CGTN,http://ygbh.site/php/bfgd.php?id=305
CGTN俄语,http://ygbh.site/php/bfgd.php?id=309
求索动物,http://ygbh.site/php/bfgd.php?id=287
求索生活,http://ygbh.site/php/bfgd.php?id=288
求索地理,http://ygbh.site/php/bfgd.php?id=286
国学频道,http://ygbh.site/php/bfgd.php?id=169
发现之旅,http://ygbh.site/php/bfgd.php?id=151
老故事,http://ygbh.site/php/bfgd.php?id=166
女性时尚,http://ygbh.site/php/bfgd.php?id=176
世界地理,http://ygbh.site/php/bfgd.php?id=177
江苏卫视,http://ygbh.site/php/bfgd.php?id=085
天津卫视,http://ygbh.site/php/bfgd.php?id=084
湖南卫视,http://ygbh.site/php/bfgd.php?id=086
北京卫视,http://ygbh.site/php/bfgd.php?id=083
黑龙江卫视,http://ygbh.site/php/bfgd.php?id=095
广东卫视,http://ygbh.site/php/bfgd.php?id=092
东方卫视,http://ygbh.site/php/bfgd.php?id=093
浙江卫视,http://ygbh.site/php/bfgd.php?id=094
吉林卫视,http://ygbh.site/php/bfgd.php?id=097
安徽卫视,http://ygbh.site/php/bfgd.php?id=096
江西卫视,http://ygbh.site/php/bfgd.php?id=098
山东卫视,http://ygbh.site/php/bfgd.php?id=099
贵州卫视,http://ygbh.site/php/bfgd.php?id=101
深圳卫视,http://ygbh.site/php/bfgd.php?id=100
湖北卫视,http://ygbh.site/php/bfgd.php?id=102
四川卫视,http://ygbh.site/php/bfgd.php?id=103
陕西卫视,http://ygbh.site/php/bfgd.php?id=512
河南卫视,http://ygbh.site/php/bfgd.php?id=339
海南卫视,http://ygbh.site/php/bfgd.php?id=473
云南卫视,http://ygbh.site/php/bfgd.php?id=482
东南卫视,http://ygbh.site/php/bfgd.php?id=483
重温经典,http://ygbh.site/php/bfgd.php?id=636
金鹰卡通,http://ygbh.site/php/bfgd.php?id=105
河南卫视,http://ygbh.site/php/bfgd.php?id=104
北京卡酷少儿,http://ygbh.site/php/bfgd.php?id=106
重庆卫视,http://ygbh.site/php/bfgd.php?id=107
山西卫视,http://ygbh.site/php/bfgd.php?id=109
河北卫视,http://ygbh.site/php/bfgd.php?id=108
青海卫视,http://ygbh.site/php/bfgd.php?id=111
内蒙古卫视,http://ygbh.site/php/bfgd.php?id=110
山东教育卫视,http://ygbh.site/php/bfgd.php?id=112
北京纪实科教,http://ygbh.site/php/bfgd.php?id=113
广西卫视,http://ygbh.site/php/bfgd.php?id=116
云南卫视,http://ygbh.site/php/bfgd.php?id=115
宁夏卫视,http://ygbh.site/php/bfgd.php?id=118
陕西卫视,http://ygbh.site/php/bfgd.php?id=114
延边卫视,http://ygbh.site/php/bfgd.php?id=117
甘肃卫视,http://ygbh.site/php/bfgd.php?id=119
西藏卫视,http://ygbh.site/php/bfgd.php?id=121
农林卫视,http://ygbh.site/php/bfgd.php?id=122
兵团卫视,http://ygbh.site/php/bfgd.php?id=124
家庭影院,http://ygbh.site/php/bfgd.php?id=289
家庭剧场,http://ygbh.site/php/bfgd.php?id=290
外国影院,http://ygbh.site/php/bfgd.php?id=291
综艺,http://ygbh.site/php/bfgd.php?id=292
午夜影院,http://ygbh.site/php/bfgd.php?id=294
纪录片,http://ygbh.site/php/bfgd.php?id=295
游戏竞技,http://ygbh.site/php/bfgd.php?id=296
儿童动漫,http://ygbh.site/php/bfgd.php?id=293
3D影院,http://ygbh.site/php/bfgd.php?id=298
绘画,http://ygbh.site/php/bfgd.php?id=297
家庭理财,http://ygbh.site/php/bfgd.php?id=139
网络棋牌,http://ygbh.site/php/bfgd.php?id=141
游戏竞技,http://ygbh.site/php/bfgd.php?id=142
天元围棋,http://ygbh.site/php/bfgd.php?id=144
电子体育,http://ygbh.site/php/bfgd.php?id=143
环球旅游,http://ygbh.site/php/bfgd.php?id=147
车迷频道,http://ygbh.site/php/bfgd.php?id=146
生态环境,http://ygbh.site/php/bfgd.php?id=149
优优宝贝,http://ygbh.site/php/bfgd.php?id=153
新疆卫视,http://ygbh.site/php/bfgd.php?id=150
收藏天下,http://ygbh.site/php/bfgd.php?id=155
中华特产,http://ygbh.site/php/bfgd.php?id=158
中国天气,http://ygbh.site/php/bfgd.php?id=160
法治天地,http://ygbh.site/php/bfgd.php?id=162
茶频道,http://ygbh.site/php/bfgd.php?id=181
书画,http://ygbh.site/php/bfgd.php?id=180
百姓健康,http://ygbh.site/php/bfgd.php?id=219
摄影频道,http://ygbh.site/php/bfgd.php?id=222
财富天下,http://ygbh.site/php/bfgd.php?id=231
四海钓鱼,http://ygbh.site/php/bfgd.php?id=229
先锋乒羽,http://ygbh.site/php/bfgd.php?id=349
证券服务,http://ygbh.site/php/bfgd.php?id=610
天元围棋,http://ygbh.site/php/bfgd.php?id=633

CCTV1,http://go.bkpcp.top/mg/cctv1
CCTV2,http://go.bkpcp.top/mg/cctv2
CCTV3,http://go.bkpcp.top/mg/cctv3
CCTV4,http://go.bkpcp.top/mg/cctv4
CCTV5,http://go.bkpcp.top/mg/cctv5
CCTV5+,http://go.bkpcp.top/mg/cctv5p
CCTV6,http://go.bkpcp.top/mg/cctv6
CCTV7,http://go.bkpcp.top/mg/cctv7
CCTV8,http://go.bkpcp.top/mg/cctv8
CCTV9,http://go.bkpcp.top/mg/cctv9
CCTV10,http://go.bkpcp.top/mg/cctv10
CCTV11,http://go.bkpcp.top/mg/cctv11
CCTV12,http://go.bkpcp.top/mg/cctv12
CCTV13,http://go.bkpcp.top/mg/cctv13
CCTV14,http://go.bkpcp.top/mg/cctv14
CCTV15,http://go.bkpcp.top/mg/cctv15
CCTV17,http://go.bkpcp.top/mg/cctv17
浙江卫视,http://go.bkpcp.top/mg/zjws
广东卫视,http://go.bkpcp.top/mg/gdws
江苏卫视,http://go.bkpcp.top/mg/jsws
东方卫视,http://go.bkpcp.top/mg/dfws
陕西卫视,http://go.bkpcp.top/mg/sxws
江西卫视,http://go.bkpcp.top/mg/jxws
湖北卫视,http://go.bkpcp.top/mg/hubws
吉林卫视,http://go.bkpcp.top/mg/jlws
青海卫视,http://go.bkpcp.top/mg/qhws
河南卫视,http://go.bkpcp.top/mg/hnws
东南卫视,http://go.bkpcp.top/mg/dnws
大湾区卫视,http://go.bkpcp.top/mg/dwqws
海南卫视,http://go.bkpcp.top/mg/hinws
湖南卫视,http://go.bkpcp.top/mg/hunws
北京卫视,http://go.bkpcp.top/mg/bjws
天津卫视,http://go.bkpcp.top/mg/tjws
重庆卫视,http://go.bkpcp.top/mg/cqws
黑龙江卫视,http://go.bkpcp.top/mg/hljws
吉林卫视,http://go.bkpcp.top/mg/jlws
辽宁卫视,http://go.bkpcp.top/mg/lnws
内蒙古卫视,http://go.bkpcp.top/mg/nmgws
甘肃卫视,http://go.bkpcp.top/mg/gsws
河北卫视,http://go.bkpcp.top/mg/hbws
山西卫视,http://go.bkpcp.top/mg/sxiws
山东卫视,http://go.bkpcp.top/mg/sdws
安徽卫视,http://go.bkpcp.top/mg/ahws
深圳卫视,http://go.bkpcp.top/mg/szws
